Chleb;Bekon;Bekon
354.84;1/1/1991;1/1/1991
355.73;2/1/1991;2/1/1991
357.23;3/1/1991;3/1/1991
358.66;4/1/1991;4/1/1991
359.13;5/1/1991;5/1/1991
358.13;6/1/1991;6/1/1991
356.19;7/1/1991;7/1/1991
353.85;8/1/1991;8/1/1991
352.25;9/1/1991;9/1/1991
352.35;10/1/1991;10/1/1991
353.81;11/1/1991;11/1/1991
355.12;12/1/1991;12/1/1991
356.25;1/1/1992;1/1/1992
357.11;2/1/1992;2/1/1992
357.86;3/1/1992;3/1/1992
359.09;4/1/1992;4/1/1992
359.59;5/1/1992;5/1/1992
359.33;6/1/1992;6/1/1992
357.01;7/1/1992;7/1/1992
354.94;8/1/1992;8/1/1992
352.96;9/1/1992;9/1/1992
353.32;10/1/1992;10/1/1992
354.32;11/1/1992;11/1/1992
355.57;12/1/1992;12/1/1992
357;1/1/1993;1/1/1993
357.31;2/1/1993;2/1/1993
358.47;3/1/1993;3/1/1993
359.27;4/1/1993;4/1/1993
360.19;5/1/1993;5/1/1993
359.52;6/1/1993;6/1/1993
357.33;7/1/1993;7/1/1993
355.64;8/1/1993;8/1/1993
354.03;9/1/1993;9/1/1993
354.12;10/1/1993;10/1/1993
355.41;11/1/1993;11/1/1993
356.91;12/1/1993;12/1/1993
358.24;1/1/1994;1/1/1994
358.92;2/1/1994;2/1/1994
359.99;3/1/1994;3/1/1994
361.23;4/1/1994;4/1/1994
361.65;5/1/1994;5/1/1994
360.81;6/1/1994;6/1/1994
359.38;7/1/1994;7/1/1994
357.46;8/1/1994;8/1/1994
355.73;9/1/1994;9/1/1994
356.08;10/1/1994;10/1/1994
357.53;11/1/1994;11/1/1994
358.98;12/1/1994;12/1/1994
359.92;1/1/1995;1/1/1995
360.86;2/1/1995;2/1/1995
361.83;3/1/1995;3/1/1995
363.3;4/1/1995;4/1/1995
363.69;5/1/1995;5/1/1995
363.19;6/1/1995;6/1/1995
361.64;7/1/1995;7/1/1995
359.12;8/1/1995;8/1/1995
358.17;9/1/1995;9/1/1995
357.99;10/1/1995;10/1/1995
359.45;11/1/1995;11/1/1995
360.68;12/1/1995;12/1/1995
362.07;1/1/1996;1/1/1996
363.24;2/1/1996;2/1/1996
364.17;3/1/1996;3/1/1996
364.57;4/1/1996;4/1/1996
365.13;5/1/1996;5/1/1996
364.92;6/1/1996;6/1/1996
363.55;7/1/1996;7/1/1996
361.38;8/1/1996;8/1/1996
359.54;9/1/1996;9/1/1996
359.58;10/1/1996;10/1/1996
360.89;11/1/1996;11/1/1996
362.24;12/1/1996;12/1/1996
363.09;1/1/1997;1/1/1997
364.03;2/1/1997;2/1/1997
364.51;3/1/1997;3/1/1997
366.35;4/1/1997;4/1/1997
366.64;5/1/1997;5/1/1997
365.59;6/1/1997;6/1/1997
364.31;7/1/1997;7/1/1997
362.25;8/1/1997;8/1/1997
360.29;9/1/1997;9/1/1997
360.82;10/1/1997;10/1/1997
362.49;11/1/1997;11/1/1997
364.38;12/1/1997;12/1/1997
365.27;1/1/1998;1/1/1998
365.98;2/1/1998;2/1/1998
367.24;3/1/1998;3/1/1998
368.66;4/1/1998;4/1/1998
369.42;5/1/1998;5/1/1998
368.99;6/1/1998;6/1/1998
367.82;7/1/1998;7/1/1998
365.95;8/1/1998;8/1/1998
364.02;9/1/1998;9/1/1998
364.4;10/1/1998;10/1/1998
365.52;11/1/1998;11/1/1998
367.13;12/1/1998;12/1/1998
368.18;1/1/1999;1/1/1999
369.07;2/1/1999;2/1/1999
369.68;3/1/1999;3/1/1999
370.99;4/1/1999;4/1/1999
370.96;5/1/1999;5/1/1999
370.3;6/1/1999;6/1/1999
369.45;7/1/1999;7/1/1999
366.9;8/1/1999;8/1/1999
364.81;9/1/1999;9/1/1999
365.37;10/1/1999;10/1/1999
366.72;11/1/1999;11/1/1999
368.1;12/1/1999;12/1/1999
369.29;1/1/2000;1/1/2000
369.55;2/1/2000;2/1/2000
370.6;3/1/2000;3/1/2000
371.82;4/1/2000;4/1/2000
371.58;5/1/2000;5/1/2000
371.7;6/1/2000;6/1/2000
369.86;7/1/2000;7/1/2000
368.13;8/1/2000;8/1/2000
367;9/1/2000;9/1/2000
367.03;10/1/2000;10/1/2000
368.37;11/1/2000;11/1/2000
369.67;12/1/2000;12/1/2000
370.59;1/1/2001;1/1/2001
371.51;2/1/2001;2/1/2001
372.43;3/1/2001;3/1/2001
373.37;4/1/2001;4/1/2001
373.85;5/1/2001;5/1/2001
373.21;6/1/2001;6/1/2001
371.51;7/1/2001;7/1/2001
369.61;8/1/2001;8/1/2001
368.18;9/1/2001;9/1/2001
368.45;10/1/2001;10/1/2001
369.76;11/1/2001;11/1/2001
371.24;12/1/2001;12/1/2001
372.53;1/1/2002;1/1/2002
373.2;2/1/2002;2/1/2002
374.12;3/1/2002;3/1/2002
375.02;4/1/2002;4/1/2002
375.76;5/1/2002;5/1/2002
375.52;6/1/2002;6/1/2002
374.01;7/1/2002;7/1/2002
371.85;8/1/2002;8/1/2002
370.75;9/1/2002;9/1/2002
370.55;10/1/2002;10/1/2002
372.25;11/1/2002;11/1/2002
373.79;12/1/2002;12/1/2002
374.88;1/1/2003;1/1/2003
375.64;2/1/2003;2/1/2003
376.45;3/1/2003;3/1/2003
377.73;4/1/2003;4/1/2003
378.6;5/1/2003;5/1/2003
378.28;6/1/2003;6/1/2003
376.7;7/1/2003;7/1/2003
374.38;8/1/2003;8/1/2003
373.17;9/1/2003;9/1/2003
373.15;10/1/2003;10/1/2003
374.66;11/1/2003;11/1/2003
375.99;12/1/2003;12/1/2003
377;1/1/2004;1/1/2004
377.87;2/1/2004;2/1/2004
378.88;3/1/2004;3/1/2004
380.35;4/1/2004;4/1/2004
380.62;5/1/2004;5/1/2004
379.69;6/1/2004;6/1/2004
377.47;7/1/2004;7/1/2004
376.01;8/1/2004;8/1/2004
374.25;9/1/2004;9/1/2004
374.46;10/1/2004;10/1/2004
376.16;11/1/2004;11/1/2004
377.51;12/1/2004;12/1/2004
378.46;1/1/2005;1/1/2005
379.73;2/1/2005;2/1/2005
380.77;3/1/2005;3/1/2005
382.29;4/1/2005;4/1/2005
382.45;5/1/2005;5/1/2005
382.21;6/1/2005;6/1/2005
380.74;7/1/2005;7/1/2005
378.74;8/1/2005;8/1/2005
376.7;9/1/2005;9/1/2005
377;10/1/2005;10/1/2005
378.35;11/1/2005;11/1/2005
380.11;12/1/2005;12/1/2005
381.38;1/1/2006;1/1/2006
382.2;2/1/2006;2/1/2006
382.67;3/1/2006;3/1/2006
384.61;4/1/2006;4/1/2006
385.03;5/1/2006;5/1/2006
384.05;6/1/2006;6/1/2006
382.46;7/1/2006;7/1/2006
380.41;8/1/2006;8/1/2006
378.85;9/1/2006;9/1/2006
379.13;10/1/2006;10/1/2006
380.15;11/1/2006;11/1/2006
381.82;12/1/2006;12/1/2006
382.89;1/1/2007;1/1/2007
383.9;2/1/2007;2/1/2007
384.58;3/1/2007;3/1/2007
386.5;4/1/2007;4/1/2007
386.56;5/1/2007;5/1/2007
386.1;6/1/2007;6/1/2007
384.5;7/1/2007;7/1/2007
381.99;8/1/2007;8/1/2007
380.96;9/1/2007;9/1/2007
381.12;10/1/2007;10/1/2007
382.45;11/1/2007;11/1/2007
383.95;12/1/2007;12/1/2007
385.52;1/1/2008;1/1/2008
385.82;2/1/2008;2/1/2008
386.03;3/1/2008;3/1/2008
387.21;4/1/2008;4/1/2008
388.54;5/1/2008;5/1/2008
387.76;6/1/2008;6/1/2008
386.36;7/1/2008;7/1/2008
384.09;8/1/2008;8/1/2008
383.18;9/1/2008;9/1/2008
382.99;10/1/2008;10/1/2008
384.19;11/1/2008;11/1/2008
385.56;12/1/2008;12/1/2008
386.94;1/1/2009;1/1/2009
387.48;2/1/2009;2/1/2009
388.82;3/1/2009;3/1/2009
389.55;4/1/2009;4/1/2009
390.14;5/1/2009;5/1/2009
389.48;6/1/2009;6/1/2009
388.03;7/1/2009;7/1/2009
386.11;8/1/2009;8/1/2009
384.74;9/1/2009;9/1/2009
384.43;10/1/2009;10/1/2009
386.02;11/1/2009;11/1/2009
387.42;12/1/2009;12/1/2009
388.71;1/1/2010;1/1/2010
390.2;2/1/2010;2/1/2010
391.17;3/1/2010;3/1/2010
392.46;4/1/2010;4/1/2010
393;5/1/2010;5/1/2010
392.15;6/1/2010;6/1/2010
390.2;7/1/2010;7/1/2010
388.35;8/1/2010;8/1/2010
386.85;9/1/2010;9/1/2010
387.24;10/1/2010;10/1/2010
388.67;11/1/2010;11/1/2010
389.79;12/1/2010;12/1/2010
391.33;1/1/2011;1/1/2011
391.86;2/1/2011;2/1/2011
392.6;3/1/2011;3/1/2011
393.25;4/1/2011;4/1/2011
394.19;5/1/2011;5/1/2011
393.74;6/1/2011;6/1/2011
392.51;7/1/2011;7/1/2011
390.13;8/1/2011;8/1/2011
389.08;9/1/2011;9/1/2011
389;10/1/2011;10/1/2011
390.28;11/1/2011;11/1/2011
391.86;12/1/2011;12/1/2011
393.12;1/1/2012;1/1/2012
393.86;2/1/2012;2/1/2012
394.4;3/1/2012;3/1/2012
396.18;4/1/2012;4/1/2012
396.74;5/1/2012;5/1/2012
395.71;6/1/2012;6/1/2012
394.36;7/1/2012;7/1/2012
392.39;8/1/2012;8/1/2012
391.11;9/1/2012;9/1/2012
391.05;10/1/2012;10/1/2012
392.98;11/1/2012;11/1/2012
394.34;12/1/2012;12/1/2012
395.55;1/1/2013;1/1/2013
396.8;2/1/2013;2/1/2013
397.43;3/1/2013;3/1/2013
398.41;4/1/2013;4/1/2013
399.78;5/1/2013;5/1/2013
398.61;6/1/2013;6/1/2013
397.32;7/1/2013;7/1/2013
395.2;8/1/2013;8/1/2013
393.45;9/1/2013;9/1/2013
393.7;10/1/2013;10/1/2013
395.16;11/1/2013;11/1/2013
396.84;12/1/2013;12/1/2013
397.85;1/1/2014;1/1/2014
398.01;2/1/2014;2/1/2014
399.77;3/1/2014;3/1/2014
401.38;4/1/2014;4/1/2014
401.78;5/1/2014;5/1/2014
401.25;6/1/2014;6/1/2014
399.1;7/1/2014;7/1/2014
397.03;8/1/2014;8/1/2014
395.38;9/1/2014;9/1/2014
396.03;10/1/2014;10/1/2014
397.28;11/1/2014;11/1/2014
398.91;12/1/2014;12/1/2014
399.98;1/1/2015;1/1/2015
400.28;2/1/2015;2/1/2015
401.54;3/1/2015;3/1/2015
403.28;4/1/2015;4/1/2015
403.96;5/1/2015;5/1/2015
402.8;6/1/2015;6/1/2015
401.31;7/1/2015;7/1/2015
398.93;8/1/2015;8/1/2015
397.63;9/1/2015;9/1/2015
398.29;10/1/2015;10/1/2015
400.16;11/1/2015;11/1/2015
401.85;12/1/2015;12/1/2015
402.56;1/1/2016;1/1/2016
404.12;2/1/2016;2/1/2016
404.87;3/1/2016;3/1/2016
407.45;4/1/2016;4/1/2016
407.72;5/1/2016;5/1/2016
406.83;6/1/2016;6/1/2016
404.41;7/1/2016;7/1/2016
402.27;8/1/2016;8/1/2016
401.05;9/1/2016;9/1/2016
401.59;10/1/2016;10/1/2016
403.55;11/1/2016;11/1/2016
404.45;12/1/2016;12/1/2016
406.17;1/1/2017;1/1/2017
406.46;2/1/2017;2/1/2017
407.22;3/1/2017;3/1/2017
409.04;4/1/2017;4/1/2017
409.69;5/1/2017;5/1/2017
408.88;6/1/2017;6/1/2017
407.12;7/1/2017;7/1/2017
405.13;8/1/2017;8/1/2017
403.37;9/1/2017;9/1/2017
403.63;10/1/2017;10/1/2017
405.12;11/1/2017;11/1/2017
406.81;12/1/2017;12/1/2017
407.96;1/1/2018;1/1/2018
408.32;2/1/2018;2/1/2018
409.41;3/1/2018;3/1/2018
410.24;4/1/2018;4/1/2018
411.24;5/1/2018;5/1/2018
410.79;6/1/2018;6/1/2018
408.71;7/1/2018;7/1/2018
406.99;8/1/2018;8/1/2018
405.51;9/1/2018;9/1/2018
406;10/1/2018;10/1/2018
408.02;11/1/2018;11/1/2018
409.07;12/1/2018;12/1/2018
